Date,Device Type,Time Spent (minutes),Product,Conversion Rate,Cart Abandonment Rate,Average Order Value,Customer Lifetime Value,Sales
30-06-2023,Desktop,5.965748223,Samsung,0.065674566,0.49200187,136.1475497,171.5687719,276.4298772
12-05-2023,Mobile,52.02698043,Lenovo,0.35607534,0.482897201,42.1086446,74.80126653,708.6937572
03-08-2023,Mobile,20.35149588,Lenovo,0.079000027,0.303245289,54.32899996,280.8397639,508.6966958
09-06-2023,Tablet,41.37945206,Dell,0.240985582,0.444965405,28.92794789,242.1612241,835.2127585
08-09-2023,Tablet,41.3147384,HP,0.103864763,0.174146254,141.6610296,55.22459169,478.6023609
01-09-2023,Mobile,6.20240879,Toshiba,0.301377822,0.453452608,192.7560992,128.780476,230.6591911
13-01-2023,Mobile,52.18423997,Acer,0.051714027,0.347808033,199.5071392,320.0329263,290.3747144
19-12-2022,Tablet,54.64209228,Asus,0.439532722,0.02651981,147.1595887,454.5681331,499.9745042
08-02-2023,Tablet,42.22959866,Acer,0.443135984,0.345030832,62.10284846,205.0622324,563.3066453
15-06-2023,Desktop,16.46932348,Dell,0.075650923,0.02998654,192.9755956,328.6908078,982.5326519
29-03-2023,Desktop,44.7208426,Lenovo,0.196340532,0.363152149,55.60631565,474.8502793,443.7797982
12-11-2022,Mobile,15.58917414,Asus,0.426438557,0.125055087,182.4210509,424.7903208,558.1252576
25-03-2023,Mobile,9.376057024,Lenovo,0.093585256,0.473819236,188.0665267,55.74189362,649.2860402
01-02-2023,Tablet,4.210917536,Dell,0.309980331,0.098631803,146.4570006,158.3912684,504.165076
08-04-2023,Tablet,55.51283054,Sony,0.048862703,0.220089564,118.0959632,72.47464374,973.5655446
24-05-2023,Tablet,20.84353494,Samsung,0.253630895,0.240141627,168.3122683,370.0762333,127.6948072
08-08-2023,Desktop,48.52479909,Microsoft,0.210933997,0.349407702,170.5541293,209.2682757,390.523145
06-05-2023,Desktop,59.36127727,Toshiba,0.236275071,0.389236184,68.32663536,109.7186988,231.5125162
03-01-2023,Mobile,48.71250704,Microsoft,0.102145837,0.159783608,104.2243362,467.5526549,133.8892789
10-03-2023,Mobile,23.64539704,Lenovo,0.285892548,0.291897606,153.9234732,444.1613656,285.3106394
11-05-2023,Tablet,14.14657912,Toshiba,0.156088933,0.159978569,106.5301901,250.0940551,530.4539394
09-06-2023,Tablet,27.14519844,Lenovo,0.110786478,0.203724448,195.0787833,365.3705026,124.5025196
01-12-2022,Desktop,37.31420955,Sony,0.24506106,0.124661961,183.6965868,183.7923538,397.7866421
23-07-2023,Mobile,51.40370611,Asus,0.243393273,0.050166227,47.23735416,72.32832546,874.4339688
06-09-2023,Tablet,54.57242417,Lenovo,0.167760346,0.09052012,175.8972473,72.03437894,663.1786611
10-05-2023,Desktop,6.644561881,Microsoft,0.035628981,0.212121667,33.19070633,215.6570959,555.4943912
24-05-2023,Desktop,3.274204975,HP,0.14491675,0.465300797,46.95598938,91.73845184,821.1625402
01-03-2023,Desktop,13.73798337,Dell,0.229049915,0.273368847,78.67219314,238.6427219,984.4577728
29-04-2023,Tablet,44.4393291,Apple,0.343785198,0.325144777,24.67272773,68.29839587,500.0737816
24-07-2023,Mobile,55.4896462,Toshiba,0.070893938,0.07131128,63.5679864,332.760147,782.5360135
05-08-2023,Tablet,55.4469279,Acer,0.124291303,0.375869265,154.2319614,346.9269981,202.166275
22-06-2023,Desktop,45.74030952,Asus,0.050229468,0.361391795,194.9901484,116.8284941,914.3964961
06-02-2023,Mobile,44.61138296,Dell,0.235011448,0.300071802,78.30518735,81.58960708,837.3890314
20-01-2023,Desktop,48.5987845,Dell,0.191536136,0.116562232,25.82205178,363.3430779,864.6550526
17-06-2023,Tablet,1.338805832,Dell,0.120233401,0.07290191,184.4116355,242.3645996,951.8254101
29-08-2023,Tablet,58.1087909,Acer,0.066606283,0.471251602,45.98187111,378.8759458,174.941507
16-01-2023,Tablet,28.28900298,Samsung,0.403236674,0.398888012,32.56852222,212.3161016,702.690687
11-03-2023,Desktop,35.54864657,Dell,0.112675936,0.200096292,49.53013296,442.8344738,253.5457225
28-07-2023,Tablet,39.29888425,HP,0.377208923,0.385188381,82.74924354,486.7553512,143.5925137
02-05-2023,Tablet,33.67121783,Samsung,0.37288196,0.285512719,158.2755513,201.6075317,499.698098
16-01-2023,Mobile,52.42072668,Asus,0.109090852,0.166581831,57.40951573,382.7774375,242.2635534
26-01-2023,Mobile,5.450285163,Apple,0.18956658,0.269888494,72.30385428,50.37649767,122.1311551
