Date,Monthly Sales,Average Transaction Value,Customer Retention Rate,New Customers Acquired,Electronics Sales,Furniture Sales,Groceries Sales,Clothing Sales,Accessories Sales,Age 18-25,Age 26-35,Age 36-45,Age 46-60,Age 60+,Male,Female,Other,Morning (6-12),Afternoon (12-18),Evening (18-24),Night (0-6)
31-01-2020,115795,113,0.535397001,868,37890,11636,11734,42711,37643,153,107,219,197,58,250,438,34,747,473,182,500
29-02-2020,100860,180,0.578393145,104,32299,30080,28227,15539,19007,186,152,208,155,65,243,235,42,797,164,244,723
31-03-2020,176820,100,0.518090916,317,12693,37728,18680,12557,47410,92,159,137,60,50,156,464,47,415,245,184,866
30-04-2020,154886,184,0.630132132,602,39467,36736,29360,48360,18208,88,207,201,128,65,138,420,15,277,323,177,402
31-05-2020,106265,70,0.655470916,866,39723,38673,28343,26482,28589,75,104,80,63,39,208,441,41,639,338,556,306
30-06-2020,182386,122,0.608539613,497,13627,47505,15759,12200,27453,148,202,113,75,53,280,244,30,831,276,977,328
31-07-2020,137194,67,0.831495004,970,35939,10854,33078,12961,46212,99,295,175,83,93,141,426,25,968,878,100,952
31-08-2020,187498,181,0.642701331,894,31834,34548,45153,31357,42635,62,105,205,139,78,285,316,30,140,952,150,677
30-09-2020,144131,138,0.612373804,492,28047,48623,21111,21969,43828,109,208,197,61,65,497,400,20,839,381,784,174
31-10-2020,160263,109,0.717078433,306,36105,17392,47504,12869,28711,184,215,127,187,53,322,231,46,803,162,816,534
30-11-2020,116023,63,0.55636969,114,20230,31556,11802,38643,13420,106,193,168,143,52,221,391,45,601,316,871,202
31-12-2020,141090,58,0.820878792,957,25707,48559,18155,34736,41216,85,146,196,199,91,232,169,44,244,953,545,521
31-01-2021,167221,139,0.529820257,653,31976,36309,18120,48467,10301,69,198,208,183,66,262,351,28,300,926,548,803
28-02-2021,164820,102,0.894754775,991,33776,31919,49384,33328,10699,114,154,95,92,41,314,374,29,823,894,980,863
31-03-2021,100769,179,0.808897908,560,40080,14931,31918,35876,10190,57,267,148,160,84,320,463,27,560,788,587,837
30-04-2021,159735,133,0.579486273,790,11306,42970,30445,31295,20492,193,151,101,71,42,334,281,23,831,560,899,905
31-05-2021,162955,141,0.502208847,674,16776,22688,40306,13987,45743,191,243,172,126,52,430,266,24,851,709,133,405
30-06-2021,164925,160,0.826184571,963,37251,35342,26646,32399,16102,164,112,155,124,59,245,190,40,657,204,447,197
31-07-2021,167969,57,0.782742938,842,19474,47157,41065,43986,29778,192,213,233,133,46,338,301,10,646,198,194,949
31-08-2021,105311,84,0.791602867,340,31959,12327,35199,30880,36641,141,223,223,102,91,175,445,12,352,610,171,897
30-09-2021,183104,130,0.808508139,663,15530,10197,26371,14735,44584,147,205,165,103,42,108,118,25,489,484,650,434
31-10-2021,153707,99,0.529617861,195,39320,33509,21835,14555,42745,115,257,108,88,88,173,138,32,693,504,253,958
30-11-2021,185305,153,0.643386291,999,13748,44698,12049,29830,33093,81,246,148,71,48,352,225,20,982,922,349,534
31-12-2021,128693,181,0.546347624,833,41968,25087,41616,27429,10569,135,244,126,154,78,329,272,21,355,617,773,546
31-01-2022,171932,51,0.84524137,584,42562,32671,48191,16893,48210,100,219,173,105,41,106,240,19,808,575,537,407
28-02-2022,193016,183,0.749319251,506,23545,35184,30932,24373,44663,112,162,223,189,90,273,341,41,914,808,217,348
31-03-2022,125658,103,0.63235921,330,10663,37848,39855,13436,46631,174,118,164,94,48,240,319,25,549,962,870,265
30-04-2022,184478,155,0.52542334,848,44766,30666,17158,18754,17455,199,191,118,140,38,267,225,17,109,744,990,580
31-05-2022,118431,53,0.624392929,754,17994,25708,17400,20677,14014,107,157,179,149,57,269,157,47,923,969,405,434
30-06-2022,102747,103,0.630073329,270,38021,36370,25151,15895,21093,107,282,112,67,81,492,247,21,897,870,367,641
31-07-2022,159150,195,0.791842471,640,40303,12811,11154,29738,28070,135,189,180,152,45,382,416,33,341,536,153,858
31-08-2022,165725,93,0.755022989,135,13304,16546,14499,40746,45777,98,216,102,149,98,221,482,37,350,122,335,205
30-09-2022,184654,63,0.854885097,624,49353,44754,16295,42352,26538,119,161,89,174,41,293,460,17,976,664,488,662
31-10-2022,135773,144,0.68888597,259,27675,40206,22183,49790,20729,64,122,148,164,54,104,100,37,104,776,833,180
30-11-2022,167435,97,0.547837698,938,33938,21411,39299,15600,44177,103,226,179,194,81,128,486,45,218,813,862,232
31-12-2022,156886,64,0.785297915,798,33664,12911,22874,39124,10784,150,236,113,117,82,264,447,35,900,557,924,896
