Date,CustomerID,Age,AssetsUnderManagement,NetProfitMargin,CustomerChurn,CostPerAcquisition,InvestmentType,MonthlyInflow,MonthlyOutflow,CustomerFeedback
01-12-2022,a0913b94-3996-4399-be4e-3d8cc22e03d1,34,4305914.049,27.33507536,FALSE,3913.337639,Cryptocurrency,13498.86419,14086.01645,Response central certain industry realize believe within.
26-07-2022,ed8d165e-d836-4eae-a05e-3f1bd624ac3b,55,2112616.529,5.379964174,TRUE,153.2311429,Stocks,39970.01741,48480.31468,Blue I window economy change.
14-03-2022,368dc6da-6bc7-483e-b90d-1f1bdc763e8e,40,288193.7454,8.992832053,FALSE,8700.792453,Real Estate,36510.33008,12793.68678,Me forward daughter end no few guy.
09-05-2023,eaf1ec1d-9252-49fd-85bf-a290be40ab80,35,4213914.225,83.07122689,TRUE,783.1797193,Bonds,43726.08447,30724.72987,Quickly then service receive fast.
31-05-2022,1cfa4b2b-5002-499c-9968-2bc323916a46,26,1911381.306,68.87362631,FALSE,4048.171945,Mutual Funds,32516.7335,46123.56556,North return dark long trial finally area.
04-09-2022,1ab4f014-f9ba-47c4-a8a2-70e24d85f0ca,49,888870.1238,4.255998762,TRUE,9915.129682,Real Estate,7923.561952,5992.385897,Apply address everyone finish.
14-07-2022,1cacb243-9b96-4409-8e13-64b825b6fb2b,19,1897599.997,16.37348882,TRUE,5687.884975,Stocks,33269.2386,11351.70629,Manage election yet ok chair.
15-12-2022,7dfd616f-c44f-4f85-8394-af9bdf1e7c6a,47,4939302.673,84.14719447,FALSE,8720.200975,Bonds,27569.15366,38588.4534,Game particular either black expert can explain.
25-10-2022,7fd6517c-9640-4853-893a-7084fc398948,63,3184747.776,36.29068948,FALSE,9914.707147,Mutual Funds,23504.31005,48518.94306,Better brother forget organization approach concern sign.
11-03-2023,fe1603ea-51da-4704-97c8-f8e1a1c37b86,75,1707815.242,4.387168659,FALSE,4881.427174,Stocks,24266.01527,37370.55999,Cold occur at section how center important risk.
04-05-2022,a7da9210-2771-4f3f-81b0-013741ff3d41,27,38698.30027,31.73039286,TRUE,6178.873367,Real Estate,1459.955129,5283.224454,Month student people onto meet east picture economy.
