Month,Assets Under Management,Net Profit Margin,Customer Churn,Cost Per Acquisition,Stocks,Bonds,Real Estate,Mutual Funds,Monthly Inflow,Monthly Outflow,Customer Age,Customer Age Group,Customer Feedback
01-01-2021,8295948,12.47527266,3.836880933,599,330947,477062,92059,57539,324646,287444,66,61+,Poor
02-01-2021,1698996,19.47175637,6.954641754,995,381904,282450,52650,356523,365594,181694,68,61+,Good
03-01-2021,1458182,12.55432297,2.416727805,182,319715,419995,355168,368436,108418,328158,51,46-60,Excellent
04-01-2021,5919454,9.138482254,3.77957652,616,75772,120565,454808,436756,134575,352006,45,31-45,Excellent
05-01-2021,8470257,7.899709959,7.327058346,960,365863,370946,106238,268918,341876,440484,47,46-60,Neutral
06-01-2021,5333874,15.41786745,6.857247183,650,64171,66272,303137,189295,230576,115107,57,46-60,Good
07-01-2021,1077710,13.04571929,1.819357023,995,163627,229685,224903,387840,459404,168080,54,46-60,Neutral
08-01-2021,7533710,14.05998393,6.195416441,421,168212,401450,486606,474555,476153,225497,42,31-45,Excellent
09-01-2021,1628568,16.32690184,2.325290157,564,417199,438306,383364,114590,133186,114139,59,46-60,Poor
10-01-2021,4006809,15.88855196,3.270442408,912,125253,325248,232911,323666,345498,113444,27,18-30,Excellent
11-01-2021,5374481,5.650449503,5.132901508,686,262019,459071,456673,151872,126451,208443,44,31-45,Poor
12-01-2021,9462484,17.03857858,1.98412141,712,383917,480740,261759,78014,103155,181168,50,46-60,Poor
13-01-2021,8316846,12.99054961,9.942822711,240,452452,433207,428248,172894,391592,196304,30,18-30,Neutral
14-01-2021,9585919,10.87562796,2.488326049,704,224185,284071,319218,94082,489078,90208,59,46-60,Excellent
15-01-2021,7278027,13.06279139,8.031813656,730,96927,116455,296519,102945,228529,426295,24,18-30,Excellent
16-01-2021,3594142,14.18677173,8.468549605,899,219159,354850,495869,439588,491388,135585,26,18-30,Good
17-01-2021,6703656,7.242594648,9.950175729,720,199323,346670,107344,123492,316810,424824,33,31-45,Neutral
18-01-2021,3240954,11.26123093,4.857878961,654,411823,281207,428920,188457,145231,427350,63,61+,Good
19-01-2021,6919620,10.03379315,8.866850681,235,180328,190435,496024,376696,135399,119069,48,46-60,Good
20-01-2021,8106860,10.25613417,9.617854951,429,418578,495646,234991,477778,355297,398362,55,46-60,Excellent
21-01-2021,9190849,6.370024076,2.556047304,828,399465,361655,345123,379088,301238,234290,42,31-45,Neutral
22-01-2021,5773606,7.39765232,5.314924802,494,271795,106738,489628,444132,434548,244232,59,46-60,Poor
23-01-2021,8947237,7.427481014,1.54009737,255,417440,129791,381402,377370,334889,287891,35,31-45,Neutral
24-01-2021,8782805,10.59837115,6.586516108,138,325994,51440,454925,103583,306463,255574,25,18-30,Excellent
25-01-2021,9748647,18.41737317,6.232655412,381,135236,421559,92925,254386,410842,367150,21,18-30,Good
26-01-2021,9629024,8.090410579,2.837136562,939,489219,248327,197759,158180,407523,206610,28,18-30,Poor
27-01-2021,5327790,11.24288762,8.18112483,969,133518,432504,377210,121882,321268,119916,60,46-60,Neutral
28-01-2021,1134928,9.674141229,1.335418505,637,317093,225285,348684,164173,459419,105667,33,31-45,Good
29-01-2021,9984695,16.81074969,8.256045917,643,342725,312699,330309,479150,234884,326860,18,18-30,Good
30-01-2021,7536017,5.751896485,1.23980762,145,122108,157729,490105,66448,386122,301285,47,46-60,Excellent
31-01-2021,5668855,7.948150933,6.911459309,767,207625,127648,282601,300408,111531,156427,34,31-45,Poor
01-02-2021,7857136,8.159623135,1.708925625,343,472949,176919,112055,496687,390927,334844,42,31-45,Excellent
02-02-2021,6912012,19.894442,3.261029674,646,293106,313679,472410,479634,291091,127688,46,46-60,Poor
03-02-2021,1682742,13.56162527,7.497220144,549,99790,196003,306024,64715,375380,291150,70,61+,Neutral
04-02-2021,5686965,7.084373966,3.523643197,377,283542,169773,222839,285774,479629,356558,43,31-45,Poor
05-02-2021,3035742,9.082987089,5.600564638,853,256722,94262,308072,477999,431827,275696,35,31-45,Poor
06-02-2021,7960400,7.517331412,9.237234426,505,443861,403165,499107,75897,193806,360708,70,61+,Good
07-02-2021,8687552,6.869068544,1.446709186,989,252492,303902,499641,152328,495975,85316,21,18-30,Neutral
08-02-2021,3086767,16.95773043,8.299718144,870,335196,74587,454598,203770,256388,386200,63,61+,Neutral
09-02-2021,1890560,12.43628943,1.587447987,145,390141,411427,144154,91572,113332,327540,66,61+,Poor
10-02-2021,8719716,14.46815205,2.141153599,848,207646,214112,136123,189915,306511,239262,58,46-60,Excellent
11-02-2021,9538519,9.968768705,2.073871935,619,132009,357687,116889,343695,280279,168353,40,31-45,Poor
12-02-2021,6365082,13.30542629,9.946920549,871,490687,401321,386051,149691,289222,122239,47,46-60,Neutral
13-02-2021,5697939,8.863535488,2.621676874,370,228976,469789,386752,77442,348816,247848,26,18-30,Poor
14-02-2021,5408686,9.620544124,9.070856616,655,393101,120680,302034,207768,153902,415053,47,46-60,Good
15-02-2021,1314132,14.78356917,9.918389467,337,371854,431465,297590,137099,371342,142938,69,61+,Neutral
16-02-2021,5244073,7.255251889,4.454062934,266,410998,238334,168690,138399,465451,259182,65,61+,Poor
17-02-2021,7424997,14.25832789,6.679436892,475,435083,444904,331328,54763,206209,259267,21,18-30,Good
18-02-2021,7785678,17.78352225,8.011821284,687,55224,163624,56902,339915,448167,116054,23,18-30,Excellent
19-02-2021,2176813,6.806348393,4.533805737,768,227390,395659,332791,409878,494997,287481,51,46-60,Good
20-02-2021,3493533,18.46191921,2.456327264,300,350493,343947,230446,398173,441092,182821,44,31-45,Excellent
21-02-2021,3305130,6.191685204,4.903864694,845,373710,197226,79140,186607,412285,209581,36,31-45,Neutral
22-02-2021,2358246,10.2336384,7.946988805,331,496546,167930,242789,82519,328162,99012,43,31-45,Neutral
23-02-2021,8967054,14.15763973,8.026864865,545,59435,284059,412685,441194,292349,424602,62,61+,Good
24-02-2021,1235368,13.3912214,3.07484913,823,381159,261731,101730,193092,209660,290602,57,46-60,Good
25-02-2021,4698958,6.445866087,2.574690759,517,371128,73998,276829,210817,287776,360308,27,18-30,Excellent
26-02-2021,3666457,16.98369752,9.285046319,253,154395,442088,178996,343050,393629,86605,70,61+,Poor
27-02-2021,4206283,19.5972994,1.395991275,467,347545,55786,346690,479112,154351,419398,31,31-45,Neutral
28-02-2021,2967487,7.718424338,7.612646282,824,286166,109059,460220,136786,126654,259181,66,61+,Neutral
01-03-2021,9414584,18.42696455,1.417792469,186,250109,276897,492289,61297,264217,227217,18,18-30,Excellent
02-03-2021,2090545,13.35214163,8.541100458,629,444105,251737,108557,492905,151529,358264,60,46-60,Neutral
03-03-2021,3528693,19.03900657,9.14873332,802,451981,144450,103206,441140,204349,196648,48,46-60,Neutral
04-03-2021,9117079,7.641289376,3.676772118,919,304464,468993,193577,104183,277450,227434,54,46-60,Excellent
05-03-2021,7741413,16.8803209,1.665420792,153,106398,249453,106618,244645,378809,312467,45,31-45,Excellent
06-03-2021,4685531,5.896723632,5.326160827,827,457413,123984,349175,469999,424619,194140,24,18-30,Neutral
07-03-2021,7720846,18.2479467,3.686167331,141,86928,236362,224859,310520,309534,382009,33,31-45,Neutral
08-03-2021,4091986,15.11239133,4.754225285,448,480035,296069,281616,262865,315911,427626,32,31-45,Good
09-03-2021,2122239,10.55382176,6.984869081,329,101382,77139,457793,285374,147802,150437,29,18-30,Excellent
10-03-2021,5483839,7.857002352,2.888434324,841,366481,268326,243697,358935,177892,311680,57,46-60,Excellent
11-03-2021,3179206,17.24799648,4.212564126,793,245394,492246,189115,290745,136362,188996,56,46-60,Poor
12-03-2021,7370049,14.04861982,8.043062413,535,426675,466797,215202,342230,278198,333688,19,18-30,Neutral
13-03-2021,3156637,10.40623779,6.79385755,240,499743,340137,142950,270671,401482,139789,43,31-45,Neutral
14-03-2021,8636208,11.65753737,3.93647942,387,391212,354192,109846,158818,193004,322840,57,46-60,Good
15-03-2021,5767908,17.39813984,6.978714402,950,314427,193995,442326,407664,458608,202863,31,31-45,Neutral
16-03-2021,6422739,10.0839079,7.887816306,948,480968,456300,363536,133957,325702,178952,28,18-30,Good
17-03-2021,9240345,6.344490172,6.332370229,421,376590,395240,104673,439377,102120,352605,26,18-30,Neutral
18-03-2021,2745515,18.66923258,3.155471493,693,409403,465783,285911,354066,472433,399186,23,18-30,Neutral
19-03-2021,6431526,10.81015609,1.002207615,541,89605,69481,187816,313387,362929,159548,64,61+,Good
20-03-2021,6889609,10.22581267,8.225641963,266,358644,409696,309113,237341,156925,132967,30,18-30,Poor
21-03-2021,5025423,8.065994283,8.403701998,945,189787,61422,287660,173412,428617,446727,55,46-60,Poor
22-03-2021,1255329,18.46133857,7.278440513,665,243978,379404,362534,354973,208185,338673,24,18-30,Poor
23-03-2021,5037278,8.262580005,1.689228382,562,414025,277079,89260,102282,392113,82632,47,46-60,Poor
24-03-2021,2107811,14.55009302,6.267000588,555,130275,380308,365904,202935,427380,235359,35,31-45,Neutral
25-03-2021,3965305,18.21147517,8.389186041,172,203942,105296,155806,344481,201416,107108,38,31-45,Neutral
26-03-2021,7147232,5.523704219,4.507014881,824,475557,308126,315614,412101,378441,276129,18,18-30,Good
27-03-2021,6840298,17.43187558,2.782006608,782,210543,340019,212715,467904,352458,441716,36,31-45,Poor
28-03-2021,8814658,11.15899133,6.288645675,369,192662,67734,405491,57974,205741,124049,61,61+,Poor
29-03-2021,4831208,14.86961863,8.436759646,318,330789,101700,54201,190563,240601,414700,42,31-45,Neutral
30-03-2021,2776091,10.58606845,1.439829628,747,444239,63786,130863,314448,253085,116395,65,61+,Poor
31-03-2021,1002607,15.43274385,6.372560954,646,337041,174258,295293,472216,130089,279156,54,46-60,Poor
01-04-2021,5609546,8.814423718,6.788564158,757,65437,104395,77340,400984,368315,310926,30,18-30,Good
02-04-2021,3655702,5.328958137,6.421303354,282,257926,275242,143716,323642,272301,229596,43,31-45,Excellent
03-04-2021,3090507,19.21681272,6.850303158,177,355935,165665,194560,390018,380018,118270,53,46-60,Excellent
04-04-2021,9591926,5.245516461,6.682377768,407,474791,399607,145910,174581,269881,119190,59,46-60,Neutral
05-04-2021,5293428,17.36148934,2.173634965,864,98198,376907,448629,184886,159024,347990,51,46-60,Poor
06-04-2021,1250898,7.5370639,3.114430993,427,417683,137773,90200,175710,383297,427584,53,46-60,Good
07-04-2021,7893508,10.88330343,6.570946048,520,373763,152076,72355,142755,204693,333688,54,46-60,Poor
08-04-2021,9779607,17.33738565,1.15923845,335,453835,241994,325975,79925,259501,219884,22,18-30,Good
09-04-2021,4076957,8.088982255,6.712700669,933,332285,85301,401501,242296,419897,150943,67,61+,Good
10-04-2021,9767809,17.98561408,6.988479614,948,178680,288045,430733,390189,499857,308209,24,18-30,Excellent
11-04-2021,1064314,12.46638409,3.152572839,688,304401,242070,178211,218878,273473,215839,62,61+,Good
12-04-2021,7781360,10.49230194,6.383195468,985,378964,166582,348540,492009,451219,229875,44,31-45,Excellent
13-04-2021,7552726,14.9365662,5.806810547,561,78094,109724,243428,63365,346119,353115,21,18-30,Poor
14-04-2021,6273346,10.12084583,3.346223933,684,457682,108976,100920,276934,104677,291128,62,61+,Excellent
15-04-2021,3475891,10.20932538,5.166766107,638,219193,333879,292740,479765,105139,441386,54,46-60,Neutral
16-04-2021,8690297,16.00289586,9.186620765,137,92137,150344,481336,84726,419910,166850,24,18-30,Neutral
17-04-2021,9891385,9.647483368,4.839425024,865,418969,395629,359930,100448,255768,266576,57,46-60,Poor
18-04-2021,2322557,8.011589725,6.668597592,525,304588,70509,442190,482325,282444,144481,56,46-60,Neutral
19-04-2021,5742801,17.11469192,1.318157389,697,158385,144934,461141,375759,186049,405630,20,18-30,Excellent
20-04-2021,2815278,17.08056551,1.70020102,968,328509,216679,358150,432555,176693,144840,40,31-45,Excellent
21-04-2021,4843364,12.46378556,1.73177266,533,400074,487723,379771,321368,419558,159208,44,31-45,Excellent
22-04-2021,4391669,12.89983424,8.004166873,458,328115,305927,322986,382762,229807,122991,23,18-30,Poor
23-04-2021,8560269,15.44114939,4.152312053,130,179076,163362,125459,398386,342631,235520,18,18-30,Good
24-04-2021,7857664,12.63911438,3.048505195,304,158363,102540,260435,241021,357681,306744,48,46-60,Poor
25-04-2021,2769101,11.25559938,7.725921116,804,486691,222016,425416,221141,435885,373232,40,31-45,Neutral
26-04-2021,4533406,19.9234129,2.529640563,841,81359,351452,467342,228115,498641,345321,38,31-45,Poor
27-04-2021,4502563,7.214606418,3.218432726,280,345324,455628,254891,474150,103900,226756,70,61+,Excellent
28-04-2021,5695741,13.89091969,4.878382989,856,253247,499615,370218,274367,439491,101735,56,46-60,Neutral
29-04-2021,5184192,18.28794539,3.982942621,139,211284,413191,481033,79526,305070,85100,54,46-60,Poor
30-04-2021,5045118,15.30822562,6.268529899,940,101567,208222,317701,331756,488148,313172,39,31-45,Neutral
01-05-2021,1885442,18.21384949,4.040565572,522,265578,252250,316576,395539,486607,230340,40,31-45,Neutral
02-05-2021,4168764,10.04502081,4.536564723,256,474572,239835,193078,175245,391278,122691,33,31-45,Excellent
03-05-2021,7296303,9.079894644,8.765979474,267,465171,387749,473205,216247,313514,294264,60,46-60,Neutral
04-05-2021,9868074,17.7690858,8.960782957,769,338284,475048,418435,165623,364961,421308,65,61+,Poor
05-05-2021,6116457,10.91171864,8.449400717,741,292178,431463,87788,292621,170486,217479,39,31-45,Good
