Month,ROI,IRR,Investment Performance,Stocks,Bonds,Real Estate,Mutual Funds,Cryptocurrency,Risk Assessment
2016-01-31,1.39388574032375,6.927220503603819,7.93740986926427,559610,611942,997402,159346,619942,Medium
2016-02-29,9.615829936671426,5.705470043685314,6.145715859278103,195185,228465,713194,366841,658353,High
2016-03-31,9.353598942565387,8.693333978047571,6.438617789853159,152351,349890,453829,844540,345455,Low
2016-04-30,7.141642396079019,10.243552421441809,2.1925468674769153,784788,90567,594045,84007,369696,Medium
2016-05-31,1.8911048471339498,10.620018370849113,2.1281789785817744,163088,702422,579021,830054,920186,Low
2016-06-30,2.870505070744944,11.014935235424666,2.2166606718931567,90615,109018,951823,892498,828711,High
2016-07-31,2.6551858228802674,10.486619957615549,7.950343413057393,296869,221378,35786,211891,64690,High
2016-08-31,5.6762063659109705,7.457519709711876,7.877118564445109,345663,783255,685042,563964,220549,High
2016-09-30,2.87023487051787,12.645497359690017,4.007053554585571,131837,177820,780108,288925,391334,High
2016-10-31,7.262205053897784,5.877802617393986,3.745890897594973,556425,178223,208823,877395,447639,Medium
2016-11-30,5.907068973724503,6.983538795521829,2.8757524731070654,808489,323320,802707,956603,176325,High
2016-12-31,1.1589235933838993,12.393780090191141,3.9748417949885506,817713,792113,726954,13503,426854,Medium
2017-01-31,7.6965151333208635,7.797261341052517,4.220899583283622,907905,54689,53791,304761,120996,Medium
2017-02-28,2.6994586298855365,9.934734416094052,6.489696900554201,901705,573918,80353,686214,604194,Medium
2017-03-31,8.423966077126092,8.271977408555589,7.197761317518409,424932,422214,423702,349743,261294,Low
2017-04-30,4.195408934106811,10.069812116160032,6.480410718448329,147606,862778,416026,951047,262465,Medium
2017-05-31,4.047577119834728,8.46655799947365,5.878850606573435,69672,544935,376279,849379,816214,Medium
2017-06-30,1.1063560220038948,14.942079899060504,6.595400468532787,902856,372478,321546,43399,687999,Low
2017-07-31,9.889560846307155,8.574775893581467,6.430984874910832,904603,350884,257359,91808,703015,Low
2017-08-31,6.508039052546775,11.270494173976454,4.854498162382368,966062,16033,156099,652012,32829,Low
2017-09-30,4.804571495673917,13.883432176508775,4.015108414768147,648958,746141,695695,22984,526231,Low
2017-10-31,1.8695926401520513,11.379349943647505,3.696684301265597,135466,429577,214037,597174,141404,Low
2017-11-30,7.2923325773591525,10.658572551096086,6.07613275707669,561253,765636,487303,10927,51986,Low
2017-12-31,3.5445742299274494,10.692294547562081,7.755824746671351,223665,902690,491327,728787,62385,High
2018-01-31,9.894527365379762,9.964607109233855,5.486328313613781,308613,788956,349012,855803,257295,Medium
2018-02-28,9.554926232343908,13.07580401404455,7.475159014833596,879712,207432,433800,796409,552904,Medium
2018-03-31,7.617670109225097,5.50424078361382,2.085376225837685,938762,175567,52245,626065,849541,High
2018-04-30,9.73964737254672,13.851299079293277,6.766823880416034,643930,246879,549365,116573,889161,High
2018-05-31,1.9507047620838658,10.862922202456426,7.1216159477604775,335724,244497,642571,506103,539570,Low
2018-06-30,3.5192382448289075,13.48873221255748,5.7859630276621745,218417,421832,421068,627641,817956,Low
2018-07-31,3.279189599120612,5.103927025442085,7.604365996170377,275211,778673,390865,158517,804176,High
2018-08-31,1.6481139261337225,13.692764039616176,5.539477957287797,626562,671040,584942,901446,408913,High
2018-09-30,9.750039381743104,6.201375191732669,3.443221415160496,44212,737641,858095,942790,341049,High
2018-10-31,1.539766779822045,12.212180063923991,3.294303376689166,153289,148677,278744,209969,688186,High
2018-11-30,8.710200135948968,9.165213928878439,5.3350176001562915,790400,174602,735710,762173,676905,High
2018-12-31,7.913452821191553,11.810723910979243,7.4389035829772645,687231,258019,185469,628666,904914,High
2019-01-31,4.382803787243136,11.281897376773642,2.434207674530462,539467,47329,867012,293265,792807,Medium
2019-02-28,1.1692662636681908,6.633965470672417,5.626343073265466,472105,656108,288555,322995,802985,High
2019-03-31,1.0548631448368258,10.146137644475516,6.618820837892148,262140,668665,336508,474453,398487,Low
2019-04-30,2.8359445662453098,7.7723047319454075,2.692412417741415,819597,235451,230890,124979,721342,Low
2019-05-31,5.444889220304139,10.604368428480123,2.7006181442720774,229052,181610,838292,523941,845748,Medium
2019-06-30,5.121189803666363,12.380032830528439,4.196767980017528,721724,958898,969312,26964,282327,High
2019-07-31,6.267633189084348,5.81258414581838,3.6432870412983016,409135,64044,337780,497845,918369,Low
2019-08-31,7.9476337869468585,10.157624235310253,3.1898849533621383,65012,937237,462665,14200,487841,High
2019-09-30,4.3961915337418525,11.176298207622585,3.1921650416680714,615380,268291,549671,237893,675291,High
2019-10-31,2.4432732595838567,7.953674535972138,2.784014194549015,481763,18612,489646,731775,432051,Low
2019-11-30,8.200440251455817,14.530034827960069,5.665124078491715,188674,729226,590834,994522,239479,Medium
2019-12-31,3.9942161319808975,10.203028255068295,6.128753621504522,974166,382184,177080,893562,213905,Low
2020-01-31,3.5819370801401567,6.825170898459327,6.217617361274268,224762,276580,976120,151559,244067,Low
2020-02-29,7.878808345863118,6.077882617992841,5.194123856831637,425510,901833,939013,148142,685959,Medium
2020-03-31,9.4072549427483,10.416595491653654,7.7174376179934,88272,691919,712275,475204,376850,High
2020-04-30,9.234651538096813,8.75238381126929,7.283196665540394,183734,870282,698126,955524,912247,Low
2020-05-31,2.2369818327146076,6.925470977683847,7.74578685599768,485330,129655,140771,920441,977019,Medium
2020-06-30,5.528423381223697,5.3069848678577465,4.332772868763068,351676,51393,663674,605804,150833,Medium
2020-07-31,1.8358325535535607,10.6660008003788,7.266698959730148,990162,812767,470240,780362,673421,High
2020-08-31,9.648783630157599,10.986002368336619,6.577248196441303,624974,294859,568509,898661,272512,High
2020-09-30,2.937050972891555,6.418026011814685,4.039837418204079,982510,400157,716313,578240,980605,Low
2020-10-31,2.776866172891973,11.017380497703043,2.639559551025316,401477,800597,727220,749866,768717,Medium
2020-11-30,8.999971057058316,14.519727547075984,6.095727499380846,818730,661914,476836,208727,398421,Low
2020-12-31,9.710654996097686,14.782956099897394,2.8187139447312823,958060,652458,694052,493705,589303,Low
2021-01-31,7.27869033365731,13.884929365570049,3.7626548420066728,440627,509557,629131,72959,539592,Low
2021-02-28,2.089045303293024,13.070785808357405,5.002187458662724,755860,914004,185472,918472,65689,Medium
2021-03-31,5.3727004948660655,7.093678367133313,6.079295210890838,263634,586078,112863,952213,778529,Medium
2021-04-30,8.349445846554435,6.564351824959301,7.557365943183829,548034,194101,474992,603069,976048,Medium
2021-05-31,6.1522946533742076,9.449476022853545,5.5594402690939795,503272,630861,607641,560680,785398,Low
2021-06-30,2.193353692555012,11.196317513185525,6.028478598032569,254511,814431,371963,984433,563094,Medium
2021-07-31,2.5469897455290504,13.506786840083779,3.8600831009058685,174500,549793,644705,47256,323388,Medium
2021-08-31,8.777275082513246,7.319630411368015,6.123755698571233,556287,32388,353392,111439,237951,Low
2021-09-30,5.743262473187351,9.796479005203325,4.626740724380447,111136,636400,288108,303859,199931,High
2021-10-31,7.352530963900411,11.47440241956846,7.141587097302643,730072,780274,955246,653486,598700,Low
2021-11-30,4.3575627360975835,9.455938545344193,4.354703083408846,826793,318605,198439,540834,10594,Low
2021-12-31,5.7923702462695745,9.54193677079284,4.809632129939341,907557,384774,729227,928640,814261,High
2022-01-31,9.793928263489226,7.25117161028279,4.595526541461547,673848,895271,723099,622416,423222,High
2022-02-28,3.967327332713243,14.866609049110757,6.8667370058443105,572669,961394,830627,159207,961037,Low
